ID_label,State/Country,Lat,Long,Time of study,Air temp (oC),Prec. (mm/yr),Climate Zone,Q,HLR (m/yr),Water regime,TN in (mg/l),TP in (mg/l),ID_label2,Wetland type,Inflow type,Area (m2),HRT_est,Age (yr),Wetland history,Vegetation type,ID_label3,TN loading rate (g/m2/yr),std,TN removal rate (g/m2/yr),std4,TN removal efficieny (%),std5,n,TP loading rate (g/m2/yr),std6,TP removal rate (g/m2/yr),std7,TP removal efficieny (%),std8,n9,K_TN,K_TN_HRT
Moustafa (2012) CWOL ,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,constant,#N/A,23,Moustafa (2012) CWOL ,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,Moustafa (2012) CWOL ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,1,#N/A,18.82124788
Moustafa (2012) IWH ,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,"Intermittent, constant",#N/A,86,Moustafa (2012) IWH ,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) IWH ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,1,#N/A,12.83266901
Moustafa (2012) IWL,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,"Intermittent, constant",#N/A,23,Moustafa (2012) IWL,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) IWL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A,1,#N/A,8.12735704
Moustafa (2012) IWOH,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,"Intermittent, constant",#N/A,86,Moustafa (2012) IWOH,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,submerged,Moustafa (2012) IWOH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,1,#N/A,19.67675915
Moustafa (2012) IWOL,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,"Intermittent, constant",#N/A,23,Moustafa (2012) IWOL,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,submerged,Moustafa (2012) IWOL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,1,#N/A,11.97715774
White (2006) Drawdown-EAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,"Intermittent, constant",#N/A,0.024,White (2006) Drawdown-EAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Emergent,White (2006) Drawdown-EAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.002,0.04,0.003927187,30.76923077,#N/A,3,#N/A,13.16171181
White (2006) Drawdown-SAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,"Intermittent, constant",#N/A,0.024,White (2006) Drawdown-SAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,White (2006) Drawdown-SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.002,0.05,0.00253243,38.46153846,#N/A,3,#N/A,16.45213976
White (2006) Flooded-EAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,Constant,#N/A,0.024,White (2006) Flooded-EAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Emergent,White (2006) Flooded-EAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,0.002,0.06,0.006076553,35.29411765,#N/A,3,#N/A,15.09725766
White (2006) Flooded-SAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,Constant,#N/A,0.024,White (2006) Flooded-SAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,White (2006) Flooded-SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,0.001,0.08,0.007525224,47.05882353,#N/A,3,#N/A,20.12967688
Han et al. (2010) SF,Netherlands,51.5409,5.8697,2 years,9.658333333,774,Cfb,1.695251264,0.026488301,"continuous, variable",30,#N/A,Han et al. (2010) SF,Free Water Surface,Agricultural runoff,64,4.242640687,0,Constructed,Emergent,Han et al. (2010) SF,293.5483871,48.42716417,172.9528536,42.11057754,58.53119827,4.689372746,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.550391998,#N/A
White et al. (2004) continuous emergents,"Florida, USA",26.66,-80.4,52 weeks,23.09166667,1443,Aw,,0.026648414,Constant,#N/A,0.113,White et al. (2004) continuous emergents,Free Water Surface,Agricultural runoff,8,2.522689246,<1,Constructed,Emergent,White et al. (2004) continuous emergents,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.785,0.008,0.643,0.00707622,81.91082803,#N/A,3,#N/A,32.4696465
White et al. (2004) continuous no emergents,"Florida, USA",26.66,-80.4,52 weeks,23.09166667,1443,Aw,,0.026648414,Constant,#N/A,0.113,White et al. (2004) continuous no emergents,Free Water Surface,Agricultural runoff,8,2.522689246,<1,Constructed,Submerged,White et al. (2004) continuous no emergents,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.788,0.014,0.631,0.012279775,80.07614213,#N/A,3,#N/A,31.74237265
White et al. (2004) Intermittently emergents,"Florida, USA",26.66,-80.4,52 weeks,23.09166667,1443,Aw,,0.026648414,"Intermittent, constant",#N/A,0.113,White et al. (2004) Intermittently emergents,Free Water Surface,Agricultural runoff,8,2.522689246,<1,Constructed,Emergent,White et al. (2004) Intermittently emergents,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.674,0.004,0.477,0.013113456,70.77151335,#N/A,3,#N/A,28.05399574
White et al. (2004) Intermittently no emergents,"Florida, USA",26.66,-80.4,52 weeks,23.09166667,1443,Aw,,0.026648414,"Intermittent, constant",#N/A,0.113,White et al. (2004) Intermittently no emergents,Free Water Surface,Agricultural runoff,8,2.522689246,<1,Constructed,Submerged,White et al. (2004) Intermittently no emergents,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.678,0.001,0.457,0.035750488,67.40412979,#N/A,3,#N/A,26.71915691
Pomogyi (1993) Hidvégi Pond,Hungary,46.631,17.161,1986-1990,10.66666667,681,Cfb,,0.026800099,Precipitation-driven,#N/A,#N/A,Pomogyi (1993) Hidvégi Pond,Free Water Surface,River/Lake water,18000000,97.70333436,1,"Restored, formerly other land use",Submerged,Pomogyi (1993) Hidvégi Pond,45.29310134,20.28461934,9.232051282,5.686928638,19.29737295,4.625107431,5,4.855250305,1.282249614,2.427564103,0.241789666,51.63125329,7.875171987,5,0.517171505,0.528449245
Chen et al. (2014) STA-3/4,"Florida, USA",26.36627,-80.63874,2005-2011,23.20416667,1418,Aw,,0.027581109,Precipitation-driven,#N/A,0.115,Chen et al. (2014) STA-3/4,Free Water Surface,Agricultural runoff,67000000,135.7094092,2,Not specified,Unspecified,Chen et al. (2014) STA-3/4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.14647541,#N/A,0.97,#N/A,84,#N/A,1,#N/A,0.61896961
Abtew et al. (2008) STA-1W,"Florida, USA",26.642,-80.425,2005-2006,23.03333333,1429,Aw,,0.028480493,Precipitation-driven,#N/A,213,Abtew et al. (2008) STA-1W,Free Water Surface,Agricultural runoff,16930000,96.21781683,11,"Created, formerly cropland",Mixed,Abtew et al. (2008) STA-1W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.215165225,#N/A,1.21,#N/A,49,#N/A,1,#N/A,0.509261191
Chen et al. (2014) STA-1W,"Florida, USA",26.642,-80.425,1995-2011,23.03333333,1429,Aw,,0.030678987,Precipitation-driven,#N/A,0.172,Chen et al. (2014) STA-1W,Free Water Surface,Agricultural runoff,27010000,108.136524,3,"Created, formerly cropland",Unspecified,Chen et al. (2014) STA-1W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.902643774,#N/A,1.3,#N/A,73.13246157,#N/A,1,#N/A,0.676297507
Juston & DeBusk (2006) STA-6 Cell 5,"Florida, USA",26.34881,-80.88693,2001-2005,23.04166667,1352,Aw,,0.030978782,Precipitation-driven,#N/A,0.07,Juston & DeBusk (2006) STA-6 Cell 5,Free Water Surface,Agricultural runoff,2530000,59.82344095,4,"Restored, formerly other land use",Emergent,Juston & DeBusk (2006) STA-6 Cell 5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8,#N/A,0.656,#N/A,82,#N/A,1,#N/A,1.370700159
Toet et al. (2005) Ditch 5,Netherlands,53.083,4.783,1997-1998,8.925,770,Cfb,29.46082168,0.030978782,Constant,5.585,1.245,Toet et al. (2005) Ditch 5,Free Water Surface,Tert. Domestic Wastewater,951,8.329834797,#N/A,"Created, formerly other land use",Mixed,Toet et al. (2005) Ditch 5,64.45846477,#N/A,42.58675079,#N/A,66.0685155,#N/A,1,14.30073607,#N/A,-0.315457413,#N/A,-2.205882353,#N/A,1,2.046722139,-0.264817059
Toet et al. (2005) Ditch 6,Netherlands,53.083,4.783,1997-1998,8.925,770,Cfb,30.39018514,0.030978782,Constant,5.585,1.245,Toet et al. (2005) Ditch 6,Free Water Surface,Tert. Domestic Wastewater,981,8.394764376,#N/A,"Created, formerly other land use",Mixed,Toet et al. (2005) Ditch 6,63.40468909,#N/A,36.49337411,#N/A,57.5562701,#N/A,1,14.06727829,#N/A,-0.917431193,#N/A,-6.52173913,#N/A,1,1.783023144,-0.776881737
Gu (2008) South Test Cell S15,"Florida, USA",26.6242,-80.426,2000-2001,23.09166667,1440,Aw,,0.031978097,"continuous, variable",#N/A,#N/A,Gu (2008) South Test Cell S15,Free Water Surface,Agricultural runoff,2000,10.03110457,2,Constructed,Submerged,Gu (2008) South Test Cell S15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.35,#N/A,0.1,#N/A,28,#N/A,1,#N/A,2.791317725
Flyckt (2010) Trosa,Sweden,58.914676,17.54169,2004-2009,6.9,#N/A,Cfb,2022.935166,0.032110082,"Intermittent, constant",23,0.36,Flyckt (2010) Trosa,Combined Horizontal,Sec. Domestic Wastewater,63000,23.76437497,1,"Created, formerly other land use",Emergent,Flyckt (2010) Trosa,273.1480616,35.38581032,93.95655036,13.39404788,35,7.155417528,6,4.331718699,0.937571001,2.937179487,1.124860719,68.5,20.01749235,6,1.12385287,2.882465879
Chen et al. (2014) STA-2,"Florida, USA",26.39728,-80.52426,2002-2011,23.25833333,1455,Aw,,0.032977413,Precipitation-driven,#N/A,0.104,Chen et al. (2014) STA-2,Free Water Surface,Agricultural runoff,33370000,114.0066831,3,Not specified,Unspecified,Chen et al. (2014) STA-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.25778269,#N/A,0.96,#N/A,76,#N/A,1,#N/A,0.666627586
Abtew et al. (2004) STA-1W,"Florida, USA",26.642,-80.425,1999-2003,23.03333333,1429,Aw,,0.033776865,"continuous, variable",#N/A,141.25,Abtew et al. (2004) STA-1W,Free Water Surface,Agricultural runoff,27000000,108.1265136,5,"Created, formerly cropland",Mixed,Abtew et al. (2004) STA-1W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.883794427,1.620010587,1.343398209,1.020094685,74.76618705,7.532944397,4,#N/A,0.691469507
O'Luanaigh (2010) RB2,Ireland,53.413,-8.244,2006-2008,9.254166667,977,Cfb,0.136706364,0.034176591,"continuous, variable",92.8,#N/A,O'Luanaigh (2010) RB2,Horizontal Subsurface Flow,Tert. Domestic Wastewater,4,2.121320344,0,Constructed,Emergent,O'Luanaigh (2010) RB2,1423.5,#N/A,584,#N/A,41.02564103,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.402116554,#N/A
Behrends et al. (2007) ReCip 2,"Alabama, USA",34.771448,-87.650503,2003-2005,15.63333333,1378,Cfa,0.038473648,0.034976044,Constant,62.9526252,#N/A,Behrends et al. (2007) ReCip 2,Vertical Subsurface Up,Sec. Domestic Wastewater,1.1,1.536170534,0,Constructed,Emergent,Behrends et al. (2007) ReCip 2,#N/A,#N/A,#N/A,#N/A,46.68528509,9.250377209,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.632866585,#N/A
Behrends et al. (2007) Subsurface flow,"Alabama, USA",34.771448,-87.650503,2003-2005,15.63333333,1378,Cfa,0.076947297,0.034976044,Constant,21.7227476,#N/A,Behrends et al. (2007) Subsurface flow,Horizontal Subsurface Flow,Sec. Domestic Wastewater,2.2,1.826824928,0,Constructed,Emergent,Behrends et al. (2007) Subsurface flow,#N/A,#N/A,#N/A,#N/A,63.45836125,0.385381771,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.219522435,#N/A
Juston & DeBusk (2006) STA-5 Cell 1,"Florida, USA",26.444,-80.90366,2002-2005,22.99583333,1330,Aw,,0.034976044,Precipitation-driven,#N/A,0.177,Juston & DeBusk (2006) STA-5 Cell 1,Free Water Surface,Agricultural runoff,8310000,80.53627063,3,"Created, formerly cropland",Emergent,Juston & DeBusk (2006) STA-5 Cell 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.3,#N/A,1.058,#N/A,46,#N/A,1,#N/A,0.571171221
Radoux et al. (1997) Iris,Belgium,49.6985,5.7929,#N/A,8.575,936,Cfb,0.071950719,0.037474333,Constant,18.7,3.8,Radoux et al. (1997) Iris,Free Water Surface,Sec. Domestic Wastewater,1.92,1.765698574,1,Constructed,Emergent,Radoux et al. (1997) Iris,185.4166667,#N/A,75,#N/A,40.4494382,#N/A,1,28.64583333,#N/A,9.375,#N/A,32.72727273,#N/A,1,1.515815717,18.53502813
Radoux et al. (1997) Sand+Alnus,Belgium,49.6985,5.7929,#N/A,8.575,936,Cfb,0.071950719,0.037474333,Constant,18.7,3.8,Radoux et al. (1997) Sand+Alnus,Horizontal Subsurface Flow,Sec. Domestic Wastewater,1.92,1.765698574,1,Constructed,Trees,Radoux et al. (1997) Sand+Alnus,185.4166667,#N/A,121.875,#N/A,65.73033708,#N/A,1,28.64583333,#N/A,21.875,#N/A,76.36363636,#N/A,1,2.46320054,43.24839896
Radoux et al. (1997) Typha,Belgium,49.6985,5.7929,#N/A,8.575,936,Cfb,0.071950719,0.037474333,Constant,18.7,3.8,Radoux et al. (1997) Typha,Free Water Surface,Sec. Domestic Wastewater,1.92,1.765698574,1,Constructed,Emergent,Radoux et al. (1997) Typha,185.4166667,#N/A,105.2083333,#N/A,56.74157303,#N/A,1,28.64583333,#N/A,14.58333333,#N/A,50.90909091,#N/A,1,2.126352603,28.83226597
Gajewska & Ambroch (2012) Wiklino HF II,Poland,54.5484,17.1494,2007-2009,8.041666667,664,Cfb,20.5059546,0.03797399,"continuous, variable",49,#N/A,Gajewska & Ambroch (2012) Wiklino HF II,Horizontal Subsurface Flow,Tert. Domestic Wastewater,540,7.230855771,12,Constructed,Emergent,Gajewska & Ambroch (2012) Wiklino HF II,584,#N/A,328.5,#N/A,56.25,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.136036938,#N/A
Chen et al. (2014) STA-6,"Florida, USA",26.34881,-80.88693,1999-2011,23.04166667,1352,Aw,,0.038173854,Precipitation-driven,#N/A,0.132,Chen et al. (2014) STA-6,Free Water Surface,Agricultural runoff,9230000,82.67832781,2,"Restored, formerly other land use",Unspecified,Chen et al. (2014) STA-6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.302392923,#N/A,1.05,#N/A,82,#N/A,1,#N/A,0.991795579
Abtew et al. (2008) STA-2,"Florida, USA",26.39728,-80.52426,2005-2006,23.25833333,1455,Aw,,0.03857358,Precipitation-driven,#N/A,120,Abtew et al. (2008) STA-2,Free Water Surface,Agricultural runoff,26030000,107.1420128,5,Not specified,Mixed,Abtew et al. (2008) STA-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.695001119,#N/A,1.38,#N/A,81,#N/A,1,#N/A,0.756005957
Abtew et al. (2008) STA-6,"Florida, USA",26.34881,-80.88693,2005-2006,23.04166667,1352,Aw,,0.038773443,Precipitation-driven,#N/A,104,Abtew et al. (2008) STA-6,Free Water Surface,Agricultural runoff,3520000,64.97210312,8,"Restored, formerly other land use",Emergent,Abtew et al. (2008) STA-6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.481331169,#N/A,1.23,#N/A,84,#N/A,1,#N/A,1.292862567
Nungesser & Chimney (2001) ENRP Cell 1,"Florida, USA",26.62826,-80.43314,1995-1999,23.03333333,1429,Aw,,0.039972621,"continuous, variable",#N/A,#N/A,Nungesser & Chimney (2001) ENRP Cell 1,Free Water Surface,Agricultural runoff,5270000,71.86938241,1?,Constructed,Emergent,Nungesser & Chimney (2001) ENRP Cell 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.831593928,#N/A,0.358,#N/A,43.1,#N/A,1,#N/A,0.599699045
Abtew et al. (2008) STA-3/4,"Florida, USA",26.36627,-80.63874,2005-2006,23.20416667,1418,Aw,,0.040772074,Precipitation-driven,#N/A,123,Abtew et al. (2008) STA-3/4,Free Water Surface,Agricultural runoff,57680000,130.7216653,1,Not specified,Mixed,Abtew et al. (2008) STA-3/4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.832343281,#N/A,1.25,#N/A,80,#N/A,1,#N/A,0.611987307
Juston & DeBusk (2006) STA-2 Cell 2,"Florida, USA",26.39728,-80.52426,2002-2005,23.25833333,1455,Aw,,0.042970568,Precipitation-driven,#N/A,0.091,Juston & DeBusk (2006) STA-2 Cell 2,Free Water Surface,Agricultural runoff,8980000,82.11270199,3,"Restored, formerly other land use",Emergent,Juston & DeBusk (2006) STA-2 Cell 2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4,#N/A,0.994,#N/A,71,#N/A,1,#N/A,0.86466525
Juston & DeBusk (2006) STA-1W west,"Florida, USA",26.635,-80.439,1997-2004,23.03333333,1429,Aw,,0.042970568,Precipitation-driven,#N/A,0.106,Juston & DeBusk (2006) STA-1W west,Free Water Surface,Agricultural runoff,5250000,71.80109788,4,"Created, formerly cropland",Emergent,Juston & DeBusk (2006) STA-1W west,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.75,1.060660172,1.225,0.530330086,74.5,14.8492424,2,#N/A,1.037588591
Moustafa & Havens (2001) ENRP,"Florida, USA",26.637,-80.4312,1994-1997,23.03333333,1429,Aw,,0.043123345,"continuous, variable",3.152125644,0.107978139,Moustafa & Havens (2001) ENRP,Free Water Surface,Agricultural runoff,16000000,94.86832981,#N/A,Constructed,Emergent,Moustafa & Havens (2001) ENRP,32.59581899,7.39373189,12.56728007,3.041031413,38.50604716,3.648231463,3,1.188112014,0.505742302,0.867763117,0.39613849,72.11712276,3.385057152,3,1.660509556,0.760181221
Kim et al. (2010) Seok-moon,South Korea,36.953,126.6306,2002-2005,11.82083333,1206,Cfa,392.7310024,0.044628523,"continuous, variable",3.9,0.3375,Kim et al. (2010) Seok-moon,Free Water Surface,River/Lake water,8800,14.52820392,0,"Created, formerly cropland",Emergent,Kim et al. (2010) Seok-moon,118.775,26.72282108,51.85,10.05733563,43.9,3.140063694,4,9,1.954482029,4.15,0.6244998,46.75,3.445286635,4,1.95919216,3.217878841
Heyvaert et al. (2006) TCWTS,"California, USA",39.1633,-120.1467,2002-2003,6.325,855,Csb,,0.04704566,Precipitation-driven,1.966,0.542,Heyvaert et al. (2006) TCWTS,Free Water Surface,Urban storm water/runoff,6366,13.39855359, ,"Created, formerly other land use",Emergent,Heyvaert et al. (2006) TCWTS,21.42218448,#N/A,12.60128499,#N/A,59,#N/A,1,4.09541762,#N/A,3.307837309,#N/A,79,#N/A,1,2.77569394,5.896158826
Sartoris et al. (2000) Marsh-pond-marsh system,"California, USA",33.7982,-117.0211,1996-1997,17.95416667,290,Csa,4847.87952,0.04896848,"continuous, variable",#N/A,#N/A,Sartoris et al. (2000) Marsh-pond-marsh system,Free Water Surface,Sec. Domestic Wastewater,99000,26.60725413,1,Constructed,Emergent,Sartoris et al. (2000) Marsh-pond-marsh system,437.794,#N/A,118.19136,#N/A,26.997026,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.322003328,#N/A
Juston & DeBusk (2006) STA-2 Cell 3,"Florida, USA",26.39728,-80.52426,2002-2005,23.25833333,1455,Aw,,0.049965777,Precipitation-driven,#N/A,0.082,Juston & DeBusk (2006) STA-2 Cell 3,Free Water Surface,Agricultural runoff,8980000,82.11270199,3,"Created, formerly cropland",Emergent,Juston & DeBusk (2006) STA-2 Cell 3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.5,#N/A,1.245,#N/A,83,#N/A,1,#N/A,1.010805856
Mitsch et al. (1995) Des Plaines River Wetland 5,"Illinois, USA",42.424177,-87.936844,1990,8.375,875,Dfa,937.1247127,0.050113621,"continuous, variable",#N/A,111,Mitsch et al. (1995) Des Plaines River Wetland 5,Free Water Surface,River/Lake water,18700,17.54089144,1,Constructed,Emergent,Mitsch et al. (1995) Des Plaines River Wetland 5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1788,#N/A,1.3728,#N/A,63.0071599,#N/A,1,#N/A,3.59201584
Andersen et al. (2003) Demonstration wetland Config A,"California, USA",33.7982,-117.0211,1996-1997,17.95416667,290,Csa,5098.50792,0.05150008,"continuous, variable",19.9,2.5,Andersen et al. (2003) Demonstration wetland Config A,Free Water Surface,Sec. Domestic Wastewater,99000,26.60725413,2,Constructed,Emergent,Andersen et al. (2003) Demonstration wetland Config A,379.6,#N/A,137.7948,#N/A,36.3,#N/A,1,45.625,#N/A,2.09875,#N/A,4.6,#N/A,1,1.869452904,0.172885183
Nungesser & Chimney (2001) ENRP Cell 3,"Florida, USA",26.62826,-80.43314,1995-1999,23.03333333,1429,Aw,,0.051964408,"continuous, variable",#N/A,#N/A,Nungesser & Chimney (2001) ENRP Cell 3,Free Water Surface,Agricultural runoff,4040000,67.24911917,1?,Constructed,Emergent,Nungesser & Chimney (2001) ENRP Cell 3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.706930693,#N/A,0.215,#N/A,30.4,#N/A,1,#N/A,0.452050531
Han et al. (2010) SSF phragmites,Netherlands,51.5409,5.8697,2 years,9.658333333,774,Cfb,1.686583808,0.052705744,"continuous, variable",30,#N/A,Han et al. (2010) SSF phragmites,Horizontal Subsurface Flow,Agricultural runoff,32,3.567621345,0,Constructed,Emergent,Han et al. (2010) SSF phragmites,576.426799,84.22115508,152.853598,3.158293315,26.84399227,4.470058248,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.414832585,#N/A
Han et al. (2010) SSF straw,Netherlands,51.5409,5.8697,2 years,9.658333333,774,Cfb,1.686583808,0.052705744,"continuous, variable",30,#N/A,Han et al. (2010) SSF straw,Free Water Surface,Agricultural runoff,32,3.567621345,0,Constructed,Unspecified,Han et al. (2010) SSF straw,576.426799,84.22115508,367.2456576,7.369351069,64.30369476,8.116895934,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.389174074,#N/A
Kadlec et al. (2012) Brighton WWTP wetlands,"Ontario, Canada",44.029,-77.721,2000-2010,7.279166667,822,Dfb,3283.750826,0.052963723,"continuous, variable",14.39,0.378,Kadlec et al. (2012) Brighton WWTP wetlands,Free Water Surface,Sec. wastewater+ urban runoff,62000,23.66950532,10,"Created, formerly cropland",Emergent,Kadlec et al. (2012) Brighton WWTP wetlands,266,#N/A,49,#N/A,18,#N/A,1,6.848484848,#N/A,2.26,#N/A,33,#N/A,1,0.953347014,1.394198973
Mitsch et al. (1995) Des Plaines River Wetland 3,"Illinois, USA",42.427604,-87.93458,1990,8.375,875,Dfa,1253.894044,0.053815195,"continuous, variable",#N/A,111,Mitsch et al. (1995) Des Plaines River Wetland 3,Free Water Surface,River/Lake water,23300,18.53233915,1,Constructed,Emergent,Mitsch et al. (1995) Des Plaines River Wetland 3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.2932,#N/A,1.4456,#N/A,63.03854875,#N/A,1,#N/A,3.401543014
Fink (2007) Oxbow diversion wetland,"Ohio, USA",40.01865,-83.01768,2005,10.825,949,Dfa,1642.71048,0.054757016,"continuous, variable",3.39,0.17,Fink (2007) Oxbow diversion wetland,Free Water Surface,River/Lake water,30000,19.74111019,9,"Created, formerly other land use",Emergent,Fink (2007) Oxbow diversion wetland,17.2,#N/A,11,#N/A,64,#N/A,1,3.96,#N/A,2.87,#N/A,13,#N/A,1,3.504449024,0.658524261
