Subwatershed,acres,sq. meters,cubic meters per day,
Upper Marstons Mills Cranbery Bogs LT10,1099.59,4449880.94,8436.49,
Upper Marstons Mills Cranbery Bogs GT10,781.97,3164511.83,5999.57,
Total Marston Mills,1881.56,7614392.77,14436.05,761.4392766
"41.66710556, -70.42362778",,,,
"MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA -Ê0110588332",,,,
https://gis-cccommission.opendata.arcgis.com/datasets/CCCommission::subwatersheds/explore?location=41.677685%2C-70.441724%2C14.34,,,,
,,,,
,,,,
,,,,
,,,,
,,,534.1026012,