DERname,bogFID,TOWN,EMBAY,terminus,area_bogsurf,area_bogshed,area_bogshedmarg,area_subemb,area_embayment,NO3_mgl,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Q_bogsurf_m3d,Q_bogshed_m3d,Q_bogshedmarg_m3d,Q_subemb_m3d,Q_embayment_m3d,area_bogsurf_ha,area_bogshed_ha,area_bogshedmarg_ha,area_subemb_ha,area_embayment_ha,Nload_Sept_kgN_y,Nload_Fert_kgN_y,Nload_Stor_kgN_y,Nload_Atmo_kgN_y,Nload_Tota_kgN_y,Nload_Parc_kgN_y,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_mgl,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,NO3_RE_pct_walton2020,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,cumsum_TN_Load_kgN_y,cumsum_NO3_Load_kgN_y,cumsum_NO3_removal_kgN_y_walton2020_a,cumsum_NO3_removal_kgN_y_walton2020_b
Co-U,165,Falmouth,Great Pond,1,16947.2098983,3271028.421146496,337889.8955629435,33349466.96890424,33349435.04363617,0.2968561351299286,21469,5093,4262,2852,33676,4910,32.11502075594345,6198.610052557283,640.3025084569236,63197.354038404024,63197.29353991178,1.69472098983,327.1028421146496,33.78898955629435,3334.946696890424,3334.9435043636167,2105.7520721118,499.53865123039714,418.03136295777585,279.7337980186712,3303.055884318644,481.5893928021304,672.0948533894276,396.5814180756954,0.8449561351299286,1913.0164499113052,1128.8090850300985,0.3657599150394116,69.4258901426937,40.96597053988098,197.61030637702757,116.60344538297727,41.80843495829747,225.6720393825434,280.99233963738357,27.46492061119897,29.02587812452715,18169.428784450207,9107.80158193417,5155.990497513128,4653.3974929591595
Co-M,164,Falmouth,Great Pond,1,40316.822737,2811911.668283494,2812734.238033841,33349466.96890424,33349435.04363617,0.4136897027492523,21469,5093,4262,2852,33676,4910,76.40051706342109,5328.582234640439,5330.141007132438,63197.354038404024,63197.29353991178,4.0316822737,281.1911668283494,281.2734238033841,3334.946696890424,3334.9435043636167,1810.1917989474202,429.4241386202996,359.35709381498464,240.47077230416147,2839.443803686866,413.99421178591615,805.1496491642035,199.70563018233395,0.9617897027492524,1871.8973099692503,464.29683265972045,0.13216771245592807,805.3851799432729,199.7640501576891,1872.444896908166,464.4326536152773,50.90564903108245,333.1784788503865,409.8666545785211,82.65687379658799,409.98655305027427,25254.042276277196,12825.122340299762,7431.8365317351545,7095.450338442179
Co-L1,583,Falmouth,Great Pond,0,34586.1847012,4273950.046691878,1003816.279534187,33349466.96890424,33349435.04363617,0.2918080389499664,21469,5093,4262,2852,33676,4910,65.54093837354026,8099.149965277983,1902.2352850912735,63197.354038404024,63197.29353991178,3.45861847012,427.39500466918776,100.3816279534187,3334.946696890424,3334.9435043636167,2751.391308232438,652.7009144733247,546.2028858207951,365.50225958726134,4315.797368113819,629.2482800047171,863.2307792803841,249.58832167759562,0.8399080389499665,2484.6281603330112,718.3874664980914,0.23417298077972085,202.74572696686985,58.6204372406059,583.5609140686719,168.72659390164674,48.42863198886994,333.75795704960564,418.05085731235135,35.23713033985416,98.18698198594443,31483.101269221068,15335.94820556054,7765.59448878476,7513.50119575453
Co-L2,584,Falmouth,Great Pond,1,98545.8684108,16462950.87906184,613384.2019136199,33349466.96890424,33349435.04363617,0.3319311141967773,21469,5093,4262,2852,33676,4910,186.74475789332027,31197.348257200967,1162.3651618193348,63197.354038404024,63197.29353991178,9.85458684108,1646.295087906184,61.33842019136199,3334.946696890424,3334.9435043636167,10598.16316561031,2514.157389838992,2103.9345759854277,1407.8886463421961,16624.143777776928,2423.8195138640194,3782.299099595875,383.81102735113336,0.8800311141967774,10027.806217857546,1017.577538213521,0.3165769276815459,140.92264088298288,14.30020792911686,373.620619964791,37.913372319913975,42.34576868665321,1282.7230995464577,1601.6436277522362,13.210653232520192,59.67477553543091,148576.80287939883,72926.72938391096,30360.222761643494,28835.485517888912
MM-U1,153,Barnstable,Three Bays,0,30860.5545695,3349429.464981947,3350080.348418696,27321721.11501001,55486539.1111816,0.7840157151222229,22900,4115,3331,4156,35547,3511,58.48085652369453,6347.180298938411,6348.413725278578,51774.75501643855,105147.18150802012,3.08605545695,334.9429464981947,335.0080348418696,2732.172111501001,5548.65391111816,2807.361015992074,504.46683758984204,408.3545652519475,509.49311713812483,4357.784368361146,430.42115839074984,1817.5895941701579,588.9685456159987,1.332115715122223,3088.2539920251925,1000.7124094514378,0.205672917660768,1817.942800283026,589.0829979055947,3088.854122104926,1000.906874550366,34.49143336330119,541.0345437584185,626.9127036914965,175.33957562187504,627.0345295425515,65547.76196294701,33139.258121984334,13567.564636118193,13484.550880555285
MM-U2,177,Barnstable,Three Bays,1,31853.7754871,3538383.599258711,188625.4126195486,27321721.11501001,55486539.1111816,0.7299825549125671,22900,4115,3331,4156,35547,3511,60.36301356165987,6705.249030053161,357.44580244933763,51774.75501643855,105147.18150802012,3.18537754871,353.8383599258711,18.86254126195486,2732.172111501001,5548.65391111816,2965.7349945830747,532.9257424763908,431.39140903738956,538.2355736893999,4603.623661678801,454.70286314328274,1787.7945873779456,561.2504514894816,1.2780825549125672,3130.1420267071194,982.6596624236114,0.2105009195148193,95.30439034190887,29.919338880411466,166.8627255306954,52.383971124010316,35.46084319116849,540.0372379286583,633.9670352102911,22.07375596402586,33.79574041344344,62459.507970921826,31321.668527814174,13026.530092359773,12857.63817686379
MM-M,155,Barnstable,Three Bays,1,143133.775487,13023988.11782231,9484645.375539364,27321721.11501001,55486539.1111816,0.872490644454956,22900,4115,3331,4156,35547,3511,271.2389943965149,24680.50205544343,17973.435446076855,51774.75501643855,105147.18150802012,14.3133775487,1302.398811782231,948.4645375539365,2732.172111501001,5548.65391111816,10916.198384525589,1961.5788800140956,1587.8540095569751,1981.1231653313687,16944.895370075592,1673.658188998661,7865.11348428234,549.4938883238417,1.420590644454956,12805.990189531303,894.6868162989522,0.17242961677961896,5727.724224096113,400.1658032569908,9325.889622406186,651.5505924912322,35.880201107789674,2391.1759024338216,2822.018535516387,133.99756241537324,2055.118970505271,215384.647300542,114266.4608757319,39366.71620850698,37671.73881480324
MM-L1,424,Barnstable,Three Bays,1,29255.442299,9747.113406752751,9861.744940959285,27321721.11501001,55486539.1111816,0.8614770770072937,22900,4115,3331,4156,35547,3511,55.43916327789966,18.470813263474106,18.68804041310053,51774.75501643855,105147.18150802012,2.9255442299,0.9747113406752751,0.9861744940959285,2732.172111501001,5548.65391111816,8.16964993072898,1.4680397146266264,1.1883451493125865,1.4826665987820802,12.681508562778298,1.2525607382877486,5.811924555915348,1.986613121933217,1.4095770770072937,9.509661772746984,3.250561613649588,6.313633229228419e-4,5.8802760565838055,2.009976809266973,9.621500742224859,3.2887900459306123,62.03463867774944,9.795212860768864,3.60540639848548,3.3755012639198383,3.647808004955977,44.47577637203311,20.36096639915419,55.14247585274425,21.18692496649643
MM-L2,152,Barnstable,Barnstable Harbor,0,28595.2518391,205394.6811707119,46276.85557262937,35649663.27656484,102735318.7979138,0.3909160792827606,12160,2429,2280,2413,19282,2219,54.18810009701045,389.223623743486,87.69479968403948,67556.2339134137,194683.78071451347,2.85952518391,20.53946811707119,4.627685557262937,3564.966327656484,10273.53187979138,70.05954877216789,13.99462532628255,13.136165394781479,13.902441709477067,111.09278120270899,12.78471535571057,55.57416557292118,19.43475297424424,0.9390160792827607,133.49421482340333,46.68404935705748,0.013611477385601381,12.521247478896198,4.378785523327738,30.077178551812946,10.518242231630433,60.961637782928314,46.7596229743116,33.87892151744906,5.800915853099898,7.633157533988744,1887.3580232441238,878.7654370203322,769.6450635540564,522.5965463585319
BSB,135,Harwich,Saquatucket Harbor,1,141650.824177,2892654.904978008,2758296.51209434,7806070.321639214,7183698.772219688,0.8074852824211121,9245,1688,1228,443,12604,1425,268.4287965889406,5481.590944505211,5226.981330174121,14792.52997432603,13613.133758225482,14.1650824177,289.2654904978008,275.82965120943396,780.6070321639214,718.3698772219687,3425.8715966711843,625.513386174252,455.05357714572364,164.16020739051754,4670.598767381678,528.054843186202,1616.7075403613774,114.1332957118003,1.355585282421112,2714.086554149955,191.60400724238386,0.038697910699451214,1541.6145085199198,108.83201827287591,2588.0223261166657,182.70436061020007,55.4535778049489,793.3099121718517,896.5221737727719,54.18259717815531,854.8804009344742,59329.365944214704,29533.873940436228,19564.73199699133,19511.95023834668
ChR,243,Falmouth,Waquoit Bay,1,34614.6848292,4133443.340283156,625781.0832383125,24403524.78058763,59422752.39846238,0.6774422526359558,11225,4226,2842,3627,21921,2770,65.59494621363663,7832.889275775459,1185.8572943556414,46244.76297572547,112606.319158373,3.46146848292,413.3443340283156,62.57810832383125,2440.3524780587627,5942.275239846238,1901.278684609805,715.7954317292683,481.374968522144,614.3374422342773,3712.9559060428983,469.1796843090566,1938.137089343619,559.917589574197,1.2255422526359558,3506.2308043958055,1012.9315987410191,0.22628804261617452,293.4235278886672,84.7685106296687,530.8244797926856,153.35239434128738,35.50813911100518,585.8751928465546,688.196413846119,45.540052723407015,104.18923446712702,69053.99276734282,35077.39521132795,15270.395800413078,15228.533426708047
IBB,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TdmE,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FhP,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HB,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ER-1,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ER-2,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
